Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
Note_pad,com.mmomeni.notepad,EditActivity,onOptionsItemSelected,Missing default,The following switch statement is missing a default case: switch (item.getItemId()) {
Note_pad,com.mmomeni.notepad,EditActivity,loadColorFromPreference,Long Statement,The length of the statement "Log.d("Notepad"`sharedPreferences.getString(getString(R.string.pref_color_key)`getString(R.string.pref_color_red_value)));" is 122.
Note_pad,com.mmomeni.notepad,EditActivity,loadColorFromPreference,Long Statement,The length of the statement "changeTextColor(sharedPreferences.getString(getString(R.string.pref_color_key)`getString(R.string.pref_color_red_value)));" is 122.
Note_pad,com.mmomeni.notepad,NoteAdapter,onBindViewHolder,Magic Number,The method contains a magic number: 80
Note_pad,com.mmomeni.notepad,NoteAdapter,onBindViewHolder,Magic Number,The method contains a magic number: 60
Note_pad,com.mmomeni.notepad,ToolbarTest,addition_isCorrect,Magic Number,The method contains a magic number: 4
Note_pad,com.mmomeni.notepad,ToolbarTest,addition_isCorrect,Magic Number,The method contains a magic number: 2
Note_pad,com.mmomeni.notepad,ToolbarTest,addition_isCorrect,Magic Number,The method contains a magic number: 2
